accession,type,species,description,last_update,factors
E-MTAB-6850,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-MTAB-6223,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-7272,differential,Caenorhabditis elegans,Differential expression comparing compound,,compound
E-MTAB-6174,differential,Sus scrofa,Differential expression comparing conditions,,
E-MTAB-8237,differential,Triticum aestivum,Differential expression comparing organism part,,organism part
E-MTAB-6056,differential,Drosophila melanogaster,Differential expression comparing compound,,compound
E-MTAB-8113,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-MTAB-7375,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-7521,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-7471,differential,Saccharomyces cerevisiae,Differential expression comparing compound,,compound
E-MTAB-7711,differential,Solanum tuberosum,"Differential expression comparing compound, organism part",,"compound, organism part"
E-MTAB-8164,differential,Caenorhabditis elegans,Differential expression comparing conditions,,
E-GEOD-102133,differential,Homo sapiens,"Differential expression comparing disease, disease staging",,"disease, disease staging"
E-MTAB-6169,differential,Gallus gallus,Differential expression comparing organism part,,organism part
E-MTAB-6606,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-101943,differential,Zea mays,Differential expression comparing conditions,,
E-MTAB-8156,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-9797,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-9808,differential,Sus scrofa,"Differential expression comparing stimulus, sex",,"stimulus, sex"
E-MTAB-7470,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6565,differential,Hordeum vulgare subsp. vulgare,"Differential expression comparing infect, environmental stress",,"infect, environmental stress"
E-MTAB-6263,differential,Sus scrofa,Differential expression comparing compound,,compound
E-MTAB-8067,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MTAB-6383,differential,Triticum aestivum,"Differential expression comparing infect, organism part",,"infect, organism part"
E-MTAB-8090,differential,Drosophila melanogaster,Differential expression comparing injury,,injury
E-MTAB-7856,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-8019,differential,Arabidopsis thaliana,Differential expression comparing stimulus,,stimulus
E-GEOD-36016,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-118498,differential,Zea mays,Differential expression comparing conditions,,
E-MTAB-8214,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-9055,differential,Homo sapiens,Differential expression comparing infect,,infect
E-MTAB-8247,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6559,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6558,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7979,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-7791,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-MTAB-6622,differential,Homo sapiens,Differential expression comparing conditions,,
E-MTAB-6564,differential,Homo sapiens,Differential expression comparing conditions,,
